
 x   t=0.0   t=0.4   t=0.8   t=1.2   t=1.6   t=2.0   t=2.4

  0.00000000D+00    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.10000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.49999978D+01    0.49999273D+01    0.49988120D+01
  0.20000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000001D+01    0.50000081D+01    0.50002175D+01    0.50028960D+01
  0.30000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.49999994D+01    0.49999694D+01    0.49993150D+01    0.49923024D+01
  0.40000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000024D+01    0.50001105D+01    0.50020384D+01    0.50189670D+01
  0.50000000D+01    0.50000000D+01    0.50000000D+01    0.49999999D+01    0.49999896D+01    0.49996183D+01    0.49942421D+01    0.49558596D+01
  0.60000000D+01    0.50000000D+01    0.50000000D+01    0.50000004D+01    0.50000428D+01    0.50012548D+01    0.50152981D+01    0.50945049D+01
  0.70000000D+01    0.50000000D+01    0.50000000D+01    0.49999979D+01    0.49998315D+01    0.49960942D+01    0.49618498D+01    0.48095677D+01
  0.80000000D+01    0.50000000D+01    0.50000000D+01    0.50000102D+01    0.50006315D+01    0.50114123D+01    0.50872461D+01    0.53335905D+01
  0.90000000D+01    0.50000000D+01    0.49999999D+01    0.49999519D+01    0.49977605D+01    0.49688438D+01    0.48135931D+01    0.44401093D+01
  0.10000000D+02    0.50000000D+01    0.50000008D+01    0.50002165D+01    0.50074462D+01    0.50777080D+01    0.53433342D+01    0.57252482D+01
  0.11000000D+02    0.50000000D+01    0.49999951D+01    0.49990742D+01    0.49769636D+01    0.48205538D+01    0.43990635D+01    0.41145721D+01
  0.12000000D+02    0.50000000D+01    0.50000294D+01    0.50037201D+01    0.50648702D+01    0.53535898D+01    0.57909771D+01    0.56316334D+01
  0.13000000D+02    0.50000000D+01    0.49998314D+01    0.49861073D+01    0.48327379D+01    0.43451115D+01    0.40371768D+01    0.49317154D+01
  0.14000000D+02    0.50000000D+01    0.50009241D+01    0.50471666D+01    0.53633784D+01    0.58806871D+01    0.56104311D+01    0.42441620D+01
  0.15000000D+02    0.50000000D+01    0.49952207D+01    0.48552110D+01    0.42693780D+01    0.39362013D+01    0.51341544D+01    0.60519754D+01
  0.16000000D+02    0.50000000D+01    0.50228354D+01    0.53689207D+01    0.60133949D+01    0.55440473D+01    0.38995706D+01    0.44667812D+01
  0.17000000D+02    0.50000000D+01    0.49014382D+01    0.41505621D+01    0.38001992D+01    0.54649265D+01    0.61113658D+01    0.40775343D+01
  0.18000000D+02    0.50000000D+01    0.53513356D+01    0.62388739D+01    0.53535819D+01    0.34458039D+01    0.49863851D+01    0.64465987D+01
  0.19000000D+02    0.50000000D+01    0.39124353D+01    0.36241297D+01    0.60326536D+01    0.59102279D+01    0.32357627D+01    0.46231023D+01
  0.20000000D+02    0.50000000D+01    0.67582002D+01    0.47130220D+01    0.30052626D+01    0.59463733D+01    0.62428152D+01    0.30268260D+01
  0.21000000D+02    0.00000000D+00    0.36898119D+01    0.70286811D+01    0.47847342D+01    0.25672286D+01    0.59716913D+01    0.64316830D+01
  0.22000000D+02    0.00000000D+00    0.36667445D+00    0.36267511D+01    0.73126912D+01    0.45830624D+01    0.22629900D+01    0.60905622D+01
  0.23000000D+02    0.00000000D+00    0.12676224D-02    0.35628494D+00    0.38043247D+01    0.75365060D+01    0.42095810D+01    0.20912523D+01
  0.24000000D+02    0.00000000D+00    0.28033439D-08    0.13184494D-02    0.37869767D+00    0.41538859D+01    0.76676404D+01    0.37263226D+01
  0.25000000D+02    0.00000000D+00    0.00000000D+00    0.46064881D-08    0.14279603D-02    0.45472120D+00    0.46286444D+01    0.76837091D+01
  0.26000000D+02    0.00000000D+00    0.00000000D+00    0.35297012D-20    0.50374840D-08    0.20560773D-02    0.59103333D+00    0.51843052D+01
  0.27000000D+02    0.00000000D+00    0.00000000D+00    0.41478496D-47    0.37344445D-20    0.10278109D-07    0.36330098D-02    0.79780513D+00
  0.28000000D+02    0.00000000D+00    0.00000000D+00    0.36454120-107    0.41190454D-47    0.14583078D-19    0.34319228D-07    0.71473509D-02
  0.29000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.54879731-107    0.51420277D-46    0.18335783D-18    0.15038217D-06
  0.30000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.63274985-240    0.49479255-105    0.99801218D-44    0.45369834D-17
  0.31000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.13320847-236    0.25494828-100    0.10319077D-40
  0.32000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.51337897-227    0.79337118D-94
  0.33000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.42380345-213
  0.34000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.35000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.36000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.37000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.38000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.39000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.40000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
