 title= "nonlinear solution"
 variables= "x", "t", "u" 
 zone F=point, I=          41 J=          25
  0.19000000D+02    0.70000001D+00    0.47770114D+01
  0.20000000D+02    0.70000001D+00    0.50872733D+01
  0.21000000D+02    0.70000001D+00    0.60246799D+01
  0.22000000D+02    0.70000001D+00    0.27031511D+01
  0.23000000D+02    0.70000001D+00    0.92445379D-01
  0.24000000D+02    0.70000001D+00    0.11164007D-04
  0.25000000D+02    0.70000001D+00    0.15474437D-14
  0.26000000D+02    0.70000001D+00    0.11644698D-39
  0.27000000D+02    0.70000001D+00    0.55824435-107
  0.28000000D+02    0.70000001D+00    0.00000000D+00
  0.29000000D+02    0.70000001D+00    0.00000000D+00
  0.30000000D+02    0.70000001D+00    0.00000000D+00
  0.31000000D+02    0.70000001D+00    0.00000000D+00
  0.32000000D+02    0.70000001D+00    0.00000000D+00
  0.33000000D+02    0.70000001D+00    0.00000000D+00
  0.34000000D+02    0.70000001D+00    0.00000000D+00
  0.35000000D+02    0.70000001D+00    0.00000000D+00
  0.36000000D+02    0.70000001D+00    0.00000000D+00
  0.37000000D+02    0.70000001D+00    0.00000000D+00
  0.38000000D+02    0.70000001D+00    0.00000000D+00
  0.39000000D+02    0.70000001D+00    0.00000000D+00
  0.40000000D+02    0.70000001D+00    0.00000000D+00
  0.00000000D+00    0.80000001D+00    0.50000000D+01
  0.10000000D+01    0.80000001D+00    0.50000000D+01
  0.20000000D+01    0.80000001D+00    0.50000000D+01
  0.30000000D+01    0.80000001D+00    0.50000000D+01
  0.40000000D+01    0.80000001D+00    0.50000000D+01
  0.50000000D+01    0.80000001D+00    0.50000000D+01
  0.60000000D+01    0.80000001D+00    0.50000000D+01
  0.70000000D+01    0.80000001D+00    0.50000000D+01
  0.80000000D+01    0.80000001D+00    0.50000000D+01
  0.90000000D+01    0.80000001D+00    0.50000000D+01
  0.10000000D+02    0.80000001D+00    0.50000000D+01
  0.11000000D+02    0.80000001D+00    0.50000000D+01
  0.12000000D+02    0.80000001D+00    0.50000000D+01
  0.13000000D+02    0.80000001D+00    0.49999998D+01
  0.14000000D+02    0.80000001D+00    0.50000110D+01
  0.15000000D+02    0.80000001D+00    0.49997656D+01
  0.16000000D+02    0.80000001D+00    0.50027817D+01
  0.17000000D+02    0.80000001D+00    0.49802685D+01
  0.18000000D+02    0.80000001D+00    0.50808826D+01
  0.19000000D+02    0.80000001D+00    0.48489626D+01
  0.20000000D+02    0.80000001D+00    0.48572963D+01
  0.21000000D+02    0.80000001D+00    0.60280576D+01
  0.22000000D+02    0.80000001D+00    0.39011241D+01
  0.23000000D+02    0.80000001D+00    0.30062454D+00
  0.24000000D+02    0.80000001D+00    0.22580540D-03
  0.25000000D+02    0.80000001D+00    0.31174255D-11
  0.26000000D+02    0.80000001D+00    0.59864553D-31
  0.27000000D+02    0.80000001D+00    0.33899747D-81
  0.28000000D+02    0.80000001D+00    0.77909190-216
  0.29000000D+02    0.80000001D+00    0.00000000D+00
  0.30000000D+02    0.80000001D+00    0.00000000D+00
  0.31000000D+02    0.80000001D+00    0.00000000D+00
  0.32000000D+02    0.80000001D+00    0.00000000D+00
  0.33000000D+02    0.80000001D+00    0.00000000D+00
  0.34000000D+02    0.80000001D+00    0.00000000D+00
  0.35000000D+02    0.80000001D+00    0.00000000D+00
  0.36000000D+02    0.80000001D+00    0.00000000D+00
  0.37000000D+02    0.80000001D+00    0.00000000D+00
  0.38000000D+02    0.80000001D+00    0.00000000D+00
  0.39000000D+02    0.80000001D+00    0.00000000D+00
  0.40000000D+02    0.80000001D+00    0.00000000D+00
  0.00000000D+00    0.90000001D+00    0.50000000D+01
  0.10000000D+01    0.90000001D+00    0.50000000D+01
  0.20000000D+01    0.90000001D+00    0.50000000D+01
  0.30000000D+01    0.90000001D+00    0.50000000D+01
  0.40000000D+01    0.90000001D+00    0.50000000D+01
  0.50000000D+01    0.90000001D+00    0.50000000D+01
  0.60000000D+01    0.90000001D+00    0.50000000D+01
  0.70000000D+01    0.90000001D+00    0.50000000D+01
  0.80000000D+01    0.90000001D+00    0.50000000D+01
  0.90000000D+01    0.90000001D+00    0.50000000D+01
  0.10000000D+02    0.90000001D+00    0.50000000D+01
  0.11000000D+02    0.90000001D+00    0.50000000D+01
  0.12000000D+02    0.90000001D+00    0.50000000D+01
  0.13000000D+02    0.90000001D+00    0.49999985D+01
  0.14000000D+02    0.90000001D+00    0.50000375D+01
  0.15000000D+02    0.90000001D+00    0.49994806D+01
  0.16000000D+02    0.90000001D+00    0.50044645D+01
  0.17000000D+02    0.90000001D+00    0.49761156D+01
  0.18000000D+02    0.90000001D+00    0.50718327D+01
  0.19000000D+02    0.90000001D+00    0.49340797D+01
  0.20000000D+02    0.90000001D+00    0.47090946D+01
  0.21000000D+02    0.90000001D+00    0.58019014D+01
  0.22000000D+02    0.90000001D+00    0.49899590D+01
  0.23000000D+02    0.90000001D+00    0.76051693D+00
  0.24000000D+02    0.90000001D+00    0.25191700D-02
  0.25000000D+02    0.90000001D+00    0.12778338D-08
  0.26000000D+02    0.90000001D+00    0.24295861D-24
  0.27000000D+02    0.90000001D+00    0.89594118D-64
  0.28000000D+02    0.90000001D+00    0.28729822-164
  0.29000000D+02    0.90000001D+00    0.00000000D+00
  0.30000000D+02    0.90000001D+00    0.00000000D+00
  0.31000000D+02    0.90000001D+00    0.00000000D+00
  0.32000000D+02    0.90000001D+00    0.00000000D+00
  0.33000000D+02    0.90000001D+00    0.00000000D+00
  0.34000000D+02    0.90000001D+00    0.00000000D+00
  0.35000000D+02    0.90000001D+00    0.00000000D+00
  0.36000000D+02    0.90000001D+00    0.00000000D+00
  0.37000000D+02    0.90000001D+00    0.00000000D+00
  0.38000000D+02    0.90000001D+00    0.00000000D+00
  0.39000000D+02    0.90000001D+00    0.00000000D+00
  0.40000000D+02    0.90000001D+00    0.00000000D+00
  0.00000000D+00    0.10000000D+01    0.50000000D+01
  0.10000000D+01    0.10000000D+01    0.50000000D+01
  0.20000000D+01    0.10000000D+01    0.50000000D+01
  0.30000000D+01    0.10000000D+01    0.50000000D+01
  0.40000000D+01    0.10000000D+01    0.50000000D+01
  0.50000000D+01    0.10000000D+01    0.50000000D+01
  0.60000000D+01    0.10000000D+01    0.50000000D+01
  0.70000000D+01    0.10000000D+01    0.50000000D+01
  0.80000000D+01    0.10000000D+01    0.50000000D+01
  0.90000000D+01    0.10000000D+01    0.50000000D+01
  0.10000000D+02    0.10000000D+01    0.50000000D+01
  0.11000000D+02    0.10000000D+01    0.50000000D+01
  0.12000000D+02    0.10000000D+01    0.50000002D+01
  0.13000000D+02    0.10000000D+01    0.49999942D+01
  0.14000000D+02    0.10000000D+01    0.50000924D+01
  0.15000000D+02    0.10000000D+01    0.49990665D+01
  0.16000000D+02    0.10000000D+01    0.50061381D+01
  0.17000000D+02    0.10000000D+01    0.49747545D+01
  0.18000000D+02    0.10000000D+01    0.50529282D+01
  0.19000000D+02    0.10000000D+01    0.50138652D+01
  0.20000000D+02    0.10000000D+01    0.46532417D+01
  0.21000000D+02    0.10000000D+01    0.54646776D+01
  0.22000000D+02    0.10000000D+01    0.57604298D+01
  0.23000000D+02    0.10000000D+01    0.15572812D+01
  0.24000000D+02    0.10000000D+01    0.17530476D-01
  0.25000000D+02    0.10000000D+01    0.15995326D-06
  0.26000000D+02    0.10000000D+01    0.40821723D-19
  0.27000000D+02    0.10000000D+01    0.14757222D-50
  0.28000000D+02    0.10000000D+01    0.20067765-129
  0.29000000D+02    0.10000000D+01    0.00000000D+00
  0.30000000D+02    0.10000000D+01    0.00000000D+00
  0.31000000D+02    0.10000000D+01    0.00000000D+00
  0.32000000D+02    0.10000000D+01    0.00000000D+00
  0.33000000D+02    0.10000000D+01    0.00000000D+00
  0.34000000D+02    0.10000000D+01    0.00000000D+00
  0.35000000D+02    0.10000000D+01    0.00000000D+00
  0.36000000D+02    0.10000000D+01    0.00000000D+00
  0.37000000D+02    0.10000000D+01    0.00000000D+00
  0.38000000D+02    0.10000000D+01    0.00000000D+00
  0.39000000D+02    0.10000000D+01    0.00000000D+00
  0.40000000D+02    0.10000000D+01    0.00000000D+00
  0.00000000D+00    0.11000000D+01    0.50000000D+01
  0.10000000D+01    0.11000000D+01    0.50000000D+01
  0.20000000D+01    0.11000000D+01    0.50000000D+01
  0.30000000D+01    0.11000000D+01    0.50000000D+01
  0.40000000D+01    0.11000000D+01    0.50000000D+01
  0.50000000D+01    0.11000000D+01    0.50000000D+01
  0.60000000D+01    0.11000000D+01    0.50000000D+01
  0.70000000D+01    0.11000000D+01    0.50000000D+01
  0.80000000D+01    0.11000000D+01    0.50000000D+01
  0.90000000D+01    0.11000000D+01    0.50000000D+01
  0.10000000D+02    0.11000000D+01    0.50000000D+01
  0.11000000D+02    0.11000000D+01    0.50000000D+01
  0.12000000D+02    0.11000000D+01    0.50000009D+01
  0.13000000D+02    0.11000000D+01    0.49999842D+01
  0.14000000D+02    0.11000000D+01    0.50001838D+01
  0.15000000D+02    0.11000000D+01    0.49985672D+01
  0.16000000D+02    0.11000000D+01    0.50074074D+01
