
 x   t=0.0   t=0.4   t=0.8   t=1.2   t=1.6   t=2.0   t=2.4

  0.00000000D+00    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.10000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.20000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.30000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.40000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.60000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.70000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.49999999D+01    0.49999997D+01    0.49999995D+01
  0.80000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.49999999D+01    0.49999997D+01    0.49999995D+01
  0.90000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.49999994D+01    0.49999972D+01    0.49999955D+01    0.49999951D+01
  0.10000000D+02    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.49999994D+01    0.49999972D+01    0.49999955D+01    0.49999951D+01
  0.11000000D+02    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.49999775D+01    0.49999571D+01    0.49999525D+01    0.49999583D+01
  0.12000000D+02    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.49999775D+01    0.49999571D+01    0.49999525D+01    0.49999583D+01
  0.13000000D+02    0.50000000D+01    0.50000000D+01    0.49998537D+01    0.49995867D+01    0.49995303D+01    0.49995982D+01    0.49996995D+01
  0.14000000D+02    0.50000000D+01    0.50000000D+01    0.49998537D+01    0.49995867D+01    0.49995303D+01    0.49995982D+01    0.49996995D+01
  0.15000000D+02    0.50000000D+01    0.50000000D+01    0.49960088D+01    0.49952528D+01    0.49960971D+01    0.49972125D+01    0.49981458D+01
  0.16000000D+02    0.50000000D+01    0.50000000D+01    0.49960088D+01    0.49952528D+01    0.49960971D+01    0.49972125D+01    0.49981458D+01
  0.17000000D+02    0.50000000D+01    0.49627339D+01    0.49503931D+01    0.49617934D+01    0.49743503D+01    0.49837697D+01    0.49900519D+01
  0.18000000D+02    0.50000000D+01    0.49627339D+01    0.49503931D+01    0.49617934D+01    0.49743503D+01    0.49837697D+01    0.49900519D+01
  0.19000000D+02    0.50000000D+01    0.44710964D+01    0.46383782D+01    0.47742248D+01    0.48639770D+01    0.49196498D+01    0.49531090D+01
  0.20000000D+02    0.50000000D+01    0.44710964D+01    0.46383782D+01    0.47742248D+01    0.48639770D+01    0.49196498D+01    0.49531090D+01
  0.21000000D+02    0.00000000D+00    0.25494585D+01    0.34699759D+01    0.40547154D+01    0.44311985D+01    0.46654632D+01    0.48063975D+01
  0.22000000D+02    0.00000000D+00    0.25494585D+01    0.34699759D+01    0.40547154D+01    0.44311985D+01    0.46654632D+01    0.48063975D+01
  0.23000000D+02    0.00000000D+00    0.51671118D+00    0.15596141D+01    0.25055928D+01    0.32992061D+01    0.39053239D+01    0.43280008D+01
  0.24000000D+02    0.00000000D+00    0.51671118D+00    0.15596141D+01    0.25055928D+01    0.32992061D+01    0.39053239D+01    0.43280008D+01
  0.25000000D+02    0.00000000D+00    0.00000000D+00    0.35186895D+00    0.95376788D+00    0.16991369D+01    0.24917119D+01    0.32278186D+01
  0.26000000D+02    0.00000000D+00    0.00000000D+00    0.35186895D+00    0.95376788D+00    0.16991369D+01    0.24917119D+01    0.32278186D+01
  0.27000000D+02    0.00000000D+00    0.00000000D+00    0.33907358D-01    0.22163022D+00    0.57515799D+00    0.10948007D+01    0.17539922D+01
  0.28000000D+02    0.00000000D+00    0.00000000D+00    0.33907358D-01    0.22163022D+00    0.57515799D+00    0.10948007D+01    0.17539922D+01
  0.29000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.31333144D-01    0.13590989D+00    0.34267538D+00    0.67934068D+00
  0.30000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.31333144D-01    0.13590989D+00    0.34267538D+00    0.67934068D+00
  0.31000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.21259598D-02    0.22852865D-01    0.82220609D-01    0.20252342D+00
  0.32000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.21259598D-02    0.22852865D-01    0.82220609D-01    0.20252342D+00
  0.33000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.24962192D-02    0.15323161D-01    0.49350069D-01
  0.34000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.24962192D-02    0.15323161D-01    0.49350069D-01
  0.35000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.13289897D-03    0.21058643D-02    0.98625407D-02
  0.36000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.13289897D-03    0.21058643D-02    0.98620217D-02
  0.37000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.18927809D-03    0.15584402D-02
  0.38000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.18927809D-03    0.15450530D-02
  0.39000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.83062893D-05    0.16817430D-03
  0.40000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
