 title="time marching" 
 variable= "x", "t", "u" 
 zone f=point, I=          71 j=          60
  0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.10000000D+01    0.00000000D+00    0.00000000D+00
  0.20000000D+01    0.00000000D+00    0.00000000D+00
  0.30000000D+01    0.00000000D+00    0.00000000D+00
  0.40000000D+01    0.00000000D+00    0.00000000D+00
  0.50000000D+01    0.00000000D+00    0.00000000D+00
  0.60000000D+01    0.00000000D+00    0.00000000D+00
  0.70000000D+01    0.00000000D+00    0.00000000D+00
  0.80000000D+01    0.00000000D+00    0.00000000D+00
  0.90000000D+01    0.00000000D+00    0.00000000D+00
  0.10000000D+02    0.00000000D+00    0.00000000D+00
  0.11000000D+02    0.00000000D+00    0.00000000D+00
  0.12000000D+02    0.00000000D+00    0.00000000D+00
  0.13000000D+02    0.00000000D+00    0.00000000D+00
  0.14000000D+02    0.00000000D+00    0.00000000D+00
  0.15000000D+02    0.00000000D+00    0.00000000D+00
  0.16000000D+02    0.00000000D+00    0.00000000D+00
  0.17000000D+02    0.00000000D+00    0.00000000D+00
  0.18000000D+02    0.00000000D+00    0.00000000D+00
  0.19000000D+02    0.00000000D+00    0.00000000D+00
  0.20000000D+02    0.00000000D+00    0.00000000D+00
  0.21000000D+02    0.00000000D+00    0.00000000D+00
  0.22000000D+02    0.00000000D+00    0.00000000D+00
  0.23000000D+02    0.00000000D+00    0.00000000D+00
  0.24000000D+02    0.00000000D+00    0.00000000D+00
  0.25000000D+02    0.00000000D+00    0.00000000D+00
  0.26000000D+02    0.00000000D+00    0.00000000D+00
  0.27000000D+02    0.00000000D+00    0.00000000D+00
  0.28000000D+02    0.00000000D+00    0.00000000D+00
  0.29000000D+02    0.00000000D+00    0.00000000D+00
  0.30000000D+02    0.00000000D+00    0.00000000D+00
  0.31000000D+02    0.00000000D+00    0.00000000D+00
  0.32000000D+02    0.00000000D+00    0.00000000D+00
  0.33000000D+02    0.00000000D+00    0.00000000D+00
  0.34000000D+02    0.00000000D+00    0.00000000D+00
  0.35000000D+02    0.00000000D+00    0.00000000D+00
  0.36000000D+02    0.00000000D+00    0.00000000D+00
  0.37000000D+02    0.00000000D+00    0.00000000D+00
  0.38000000D+02    0.00000000D+00    0.00000000D+00
  0.39000000D+02    0.00000000D+00    0.00000000D+00
  0.40000000D+02    0.00000000D+00    0.00000000D+00
  0.41000000D+02    0.00000000D+00    0.00000000D+00
  0.42000000D+02    0.00000000D+00    0.00000000D+00
  0.43000000D+02    0.00000000D+00    0.00000000D+00
  0.44000000D+02    0.00000000D+00    0.00000000D+00
  0.45000000D+02    0.00000000D+00    0.00000000D+00
  0.46000000D+02    0.00000000D+00    0.00000000D+00
  0.47000000D+02    0.00000000D+00    0.00000000D+00
  0.48000000D+02    0.00000000D+00    0.00000000D+00
  0.49000000D+02    0.00000000D+00    0.00000000D+00
  0.50000000D+02    0.00000000D+00    0.00000000D+00
  0.51000000D+02    0.00000000D+00    0.00000000D+00
  0.52000000D+02    0.00000000D+00    0.00000000D+00
  0.53000000D+02    0.00000000D+00    0.00000000D+00
  0.54000000D+02    0.00000000D+00    0.00000000D+00
  0.55000000D+02    0.00000000D+00    0.00000000D+00
  0.56000000D+02    0.00000000D+00    0.00000000D+00
  0.57000000D+02    0.00000000D+00    0.00000000D+00
  0.58000000D+02    0.00000000D+00    0.00000000D+00
  0.59000000D+02    0.00000000D+00    0.00000000D+00
  0.60000000D+02    0.00000000D+00    0.00000000D+00
  0.61000000D+02    0.00000000D+00    0.00000000D+00
  0.62000000D+02    0.00000000D+00    0.00000000D+00
  0.63000000D+02    0.00000000D+00    0.00000000D+00
  0.64000000D+02    0.00000000D+00    0.00000000D+00
  0.65000000D+02    0.00000000D+00    0.00000000D+00
  0.66000000D+02    0.00000000D+00    0.00000000D+00
  0.67000000D+02    0.00000000D+00    0.00000000D+00
  0.68000000D+02    0.00000000D+00    0.00000000D+00
  0.69000000D+02    0.00000000D+00    0.00000000D+00
  0.70000000D+02    0.00000000D+00    0.00000000D+00
  0.00000000D+00    0.25000000D-02    0.00000000D+00
  0.10000000D+01    0.25000000D-02   -0.90620673D-03
  0.20000000D+01    0.25000000D-02    0.36248269D-02
  0.30000000D+01    0.25000000D-02   -0.15405514D-01
  0.40000000D+01    0.25000000D-02    0.65246885D-01
  0.50000000D+01    0.25000000D-02   -0.27639305D+00
  0.60000000D+01    0.25000000D-02    0.11708191D+01
  0.70000000D+01    0.25000000D-02    0.30403305D+01
  0.80000000D+01    0.25000000D-02    0.50094969D+01
  0.90000000D+01    0.25000000D-02    0.70023429D+01
  0.10000000D+02    0.25000000D-02    0.90001252D+01
  0.11000000D+02    0.25000000D-02    0.11001842D+02
  0.12000000D+02    0.25000000D-02    0.12992757D+02
  0.13000000D+02    0.25000000D-02    0.15030813D+02
  0.14000000D+02    0.25000000D-02    0.16869507D+02
  0.15000000D+02    0.25000000D-02    0.19552787D+02
  0.16000000D+02    0.25000000D-02    0.18658360D+02
  0.17000000D+02    0.25000000D-02    0.16919347D+02
  0.18000000D+02    0.25000000D-02    0.14980972D+02
  0.19000000D+02    0.25000000D-02    0.12995458D+02
  0.20000000D+02    0.25000000D-02    0.10999142D+02
  0.21000000D+02    0.25000000D-02    0.89988912D+01
  0.22000000D+02    0.25000000D-02    0.70035770D+01
  0.23000000D+02    0.25000000D-02    0.49845832D+01
  0.24000000D+02    0.25000000D-02    0.30652443D+01
  0.25000000D+02    0.25000000D-02    0.72360602D+00
  0.26000000D+02    0.25000000D-02    0.17082021D+00
  0.27000000D+02    0.25000000D-02    0.40325181D-01
  0.28000000D+02    0.25000000D-02    0.95194840D-02
  0.29000000D+02    0.25000000D-02    0.22472453D-02
  0.30000000D+02    0.25000000D-02    0.53050266D-03
  0.31000000D+02    0.25000000D-02    0.12523469D-03
  0.32000000D+02    0.25000000D-02    0.29563900D-04
  0.33000000D+02    0.25000000D-02    0.69790901D-05
  0.34000000D+02    0.25000000D-02    0.16475397D-05
  0.35000000D+02    0.25000000D-02    0.38893136D-06
  0.36000000D+02    0.25000000D-02    0.91814240D-07
  0.37000000D+02    0.25000000D-02    0.21674402D-07
  0.38000000D+02    0.25000000D-02    0.51166322D-08
  0.39000000D+02    0.25000000D-02    0.12078730D-08
  0.40000000D+02    0.25000000D-02    0.28514014D-09
  0.41000000D+02    0.25000000D-02    0.67312456D-10
  0.42000000D+02    0.25000000D-02    0.15890315D-10
  0.43000000D+02    0.25000000D-02    0.37511946D-11
  0.44000000D+02    0.25000000D-02    0.88553693D-12
  0.45000000D+02    0.25000000D-02    0.20904691D-12
  0.46000000D+02    0.25000000D-02    0.49349282D-13
  0.47000000D+02    0.25000000D-02    0.11649785D-13
  0.48000000D+02    0.25000000D-02    0.27501412D-14
  0.49000000D+02    0.25000000D-02    0.64922027D-15
  0.50000000D+02    0.25000000D-02    0.15326012D-15
  0.51000000D+02    0.25000000D-02    0.36179806D-16
  0.52000000D+02    0.25000000D-02    0.85408936D-17
  0.53000000D+02    0.25000000D-02    0.20162315D-17
  0.54000000D+02    0.25000000D-02    0.47596769D-18
  0.55000000D+02    0.25000000D-02    0.11236073D-18
  0.56000000D+02    0.25000000D-02    0.26524770D-19
  0.57000000D+02    0.25000000D-02    0.62616488D-20
  0.58000000D+02    0.25000000D-02    0.14781748D-20
  0.59000000D+02    0.25000000D-02    0.34894973D-21
  0.60000000D+02    0.25000000D-02    0.82375857D-22
  0.61000000D+02    0.25000000D-02    0.19446302D-22
  0.62000000D+02    0.25000000D-02    0.45906492D-23
  0.63000000D+02    0.25000000D-02    0.10837053D-23
  0.64000000D+02    0.25000000D-02    0.25582810D-24
  0.65000000D+02    0.25000000D-02    0.60392857D-25
  0.66000000D+02    0.25000000D-02    0.14256674D-25
  0.67000000D+02    0.25000000D-02    0.33661592D-26
  0.68000000D+02    0.25000000D-02    0.79203747D-27
  0.69000000D+02    0.25000000D-02    0.19800937D-27
  0.70000000D+02    0.25000000D-02    0.00000000D+00
  0.00000000D+00    0.50000000D-02    0.00000000D+00
  0.10000000D+01    0.50000000D-02   -0.45536098D-02
  0.20000000D+01    0.50000000D-02    0.14589612D-01
  0.30000000D+01    0.50000000D-02   -0.48412751D-01
  0.40000000D+01    0.50000000D-02    0.14661856D+00
  0.50000000D+01    0.50000000D-02   -0.37389944D+00
  0.60000000D+01    0.50000000D-02    0.53664409D+00
  0.70000000D+01    0.50000000D-02    0.21628006D+01
  0.80000000D+01    0.50000000D-02    0.40467638D+01
  0.90000000D+01    0.50000000D-02    0.60137329D+01
  0.10000000D+02    0.50000000D-02    0.80012040D+01
  0.11000000D+02    0.50000000D-02    0.10009418D+02
  0.12000000D+02    0.50000000D-02    0.11970900D+02
  0.13000000D+02    0.50000000D-02    0.14096846D+02
  0.14000000D+02    0.50000000D-02    0.15706767D+02
  0.15000000D+02    0.50000000D-02    0.18747805D+02
  0.16000000D+02    0.50000000D-02    0.18926694D+02
  0.17000000D+02    0.50000000D-02    0.17674467D+02
  0.18000000D+02    0.50000000D-02    0.15906214D+02
  0.19000000D+02    0.50000000D-02    0.13973499D+02
  0.20000000D+02    0.50000000D-02    0.11994051D+02
  0.21000000D+02    0.50000000D-02    0.99938608D+01
  0.22000000D+02    0.50000000D-02    0.80141726D+01
  0.23000000D+02    0.50000000D-02    0.59514785D+01
  0.24000000D+02    0.50000000D-02    0.41465913D+01
  0.25000000D+02    0.50000000D-02    0.16260903D+01
  0.26000000D+02    0.50000000D-02    0.53665410D+00
  0.27000000D+02    0.50000000D-02    0.16275479D+00
  0.28000000D+02    0.50000000D-02    0.46935678D-01
  0.29000000D+02    0.50000000D-02    0.13090008D-01
  0.30000000D+02    0.50000000D-02    0.35646277D-02
  0.31000000D+02    0.50000000D-02    0.95350777D-03
  0.32000000D+02    0.50000000D-02    0.25153541D-03
  0.33000000D+02    0.50000000D-02    0.65621743D-04
  0.34000000D+02    0.50000000D-02    0.16964796D-04
  0.35000000D+02    0.50000000D-02    0.43527160D-05
  0.36000000D+02    0.50000000D-02    0.11096580D-05
  0.37000000D+02    0.50000000D-02    0.28134090D-06
  0.38000000D+02    0.50000000D-02    0.70992031D-07
  0.39000000D+02    0.50000000D-02    0.17839300D-07
  0.40000000D+02    0.50000000D-02    0.44663245D-08
  0.41000000D+02    0.50000000D-02    0.11145623D-08
  0.42000000D+02    0.50000000D-02    0.27732519D-09
  0.43000000D+02    0.50000000D-02    0.68822768D-10
  0.44000000D+02    0.50000000D-02    0.17038900D-10
  0.45000000D+02    0.50000000D-02    0.42093159D-11
  0.46000000D+02    0.50000000D-02    0.10378240D-11
  0.47000000D+02    0.50000000D-02    0.25541690D-12
  0.48000000D+02    0.50000000D-02    0.62755553D-13
  0.49000000D+02    0.50000000D-02    0.15395257D-13
  0.50000000D+02    0.50000000D-02    0.37714071D-14
  0.51000000D+02    0.50000000D-02    0.92266866D-15
  0.52000000D+02    0.50000000D-02    0.22545173D-15
  0.53000000D+02    0.50000000D-02    0.55025307D-16
  0.54000000D+02    0.50000000D-02    0.13415431D-16
  0.55000000D+02    0.50000000D-02    0.32674522D-17
  0.56000000D+02    0.50000000D-02    0.79506531D-18
  0.57000000D+02    0.50000000D-02    0.19329005D-18
  0.58000000D+02    0.50000000D-02    0.46951711D-19
  0.59000000D+02    0.50000000D-02    0.11395906D-19
  0.60000000D+02    0.50000000D-02    0.27638876D-20
  0.61000000D+02    0.50000000D-02    0.66985865D-21
  0.62000000D+02    0.50000000D-02    0.16223818D-21
  0.63000000D+02    0.50000000D-02    0.39268534D-22
  0.64000000D+02    0.50000000D-02    0.94988627D-23
  0.65000000D+02    0.50000000D-02    0.22963959D-23
  0.66000000D+02    0.50000000D-02    0.55485052D-24
  0.67000000D+02    0.50000000D-02    0.13402052D-24
  0.68000000D+02    0.50000000D-02    0.32233095D-25
  0.69000000D+02    0.50000000D-02    0.82562832D-26
  0.70000000D+02    0.50000000D-02    0.00000000D+00
  0.00000000D+00    0.75000000D-02    0.00000000D+00
  0.10000000D+01    0.75000000D-02   -0.13150137D-01
  0.20000000D+01    0.75000000D-02    0.34386111D-01
  0.30000000D+01    0.75000000D-02   -0.92336133D-01
  0.40000000D+01    0.75000000D-02    0.21007964D+00
  0.50000000D+01    0.75000000D-02   -0.34618047D+00
  0.60000000D+01    0.75000000D-02    0.99203758D-01
  0.70000000D+01    0.75000000D-02    0.14035809D+01
  0.80000000D+01    0.75000000D-02    0.31360828D+01
  0.90000000D+01    0.75000000D-02    0.50463051D+01
  0.10000000D+02    0.75000000D-02    0.70057940D+01
  0.11000000D+02    0.75000000D-02    0.90279448D+01
  0.12000000D+02    0.75000000D-02    0.10931686D+02
  0.13000000D+02    0.75000000D-02    0.13184801D+02
  0.14000000D+02    0.75000000D-02    0.14579868D+02
  0.15000000D+02    0.75000000D-02    0.17692396D+02
  0.16000000D+02    0.75000000D-02    0.18801505D+02
  0.17000000D+02    0.75000000D-02    0.18193154D+02
  0.18000000D+02    0.75000000D-02    0.16726756D+02
  0.19000000D+02    0.75000000D-02    0.14910986D+02
  0.20000000D+02    0.75000000D-02    0.12976806D+02
  0.21000000D+02    0.75000000D-02    0.10979965D+02
  0.22000000D+02    0.75000000D-02    0.90323901D+01
  0.23000000D+02    0.75000000D-02    0.69070947D+01
  0.24000000D+02    0.75000000D-02    0.52099253D+01
  0.25000000D+02    0.75000000D-02    0.26537587D+01
  0.26000000D+02    0.75000000D-02    0.10992519D+01
  0.27000000D+02    0.75000000D-02    0.40336758D+00
  0.28000000D+02    0.75000000D-02    0.13680072D+00
  0.29000000D+02    0.75000000D-02    0.43907428D-01
  0.30000000D+02    0.75000000D-02    0.13531035D-01
  0.31000000D+02    0.75000000D-02    0.40417988D-02
  0.32000000D+02    0.75000000D-02    0.11778709D-02
  0.33000000D+02    0.75000000D-02    0.33645676D-03
  0.34000000D+02    0.75000000D-02    0.94530867D-04
  0.35000000D+02    0.75000000D-02    0.26192474D-04
  0.36000000D+02    0.75000000D-02    0.71718354D-05
  0.37000000D+02    0.75000000D-02    0.19437643D-05
  0.38000000D+02    0.75000000D-02    0.52214165D-06
  0.39000000D+02    0.75000000D-02    0.13916587D-06
  0.40000000D+02    0.75000000D-02    0.36835366D-07
  0.41000000D+02    0.75000000D-02    0.96897027D-08
  0.42000000D+02    0.75000000D-02    0.25348047D-08
  0.43000000D+02    0.75000000D-02    0.65978476D-09
  0.44000000D+02    0.75000000D-02    0.17095671D-09
  0.45000000D+02    0.75000000D-02    0.44113504D-10
  0.46000000D+02    0.75000000D-02    0.11339960D-10
  0.47000000D+02    0.75000000D-02    0.29049612D-11
  0.48000000D+02    0.75000000D-02    0.74178246D-12
  0.49000000D+02    0.75000000D-02    0.18885361D-12
  0.50000000D+02    0.75000000D-02    0.47949066D-13
  0.51000000D+02    0.75000000D-02    0.12142971D-13
