 title="time marching" 
 variable= "x", "t", "u" 
 zone f=point, I=          71 j=          30
  0.52000000D+02    0.15000000D-01    0.18354783D-07
  0.53000000D+02    0.15000000D-01    0.81090329D-08
  0.54000000D+02    0.15000000D-01    0.35753302D-08
  0.55000000D+02    0.15000000D-01    0.15734147D-08
  0.56000000D+02    0.15000000D-01    0.69119136D-09
  0.57000000D+02    0.15000000D-01    0.30312753D-09
  0.58000000D+02    0.15000000D-01    0.13272868D-09
  0.59000000D+02    0.15000000D-01    0.58030128D-10
  0.60000000D+02    0.15000000D-01    0.25335284D-10
  0.61000000D+02    0.15000000D-01    0.11046208D-10
  0.62000000D+02    0.15000000D-01    0.48099880D-11
  0.63000000D+02    0.15000000D-01    0.20919477D-11
  0.64000000D+02    0.15000000D-01    0.90871642D-12
  0.65000000D+02    0.15000000D-01    0.39442386D-12
  0.66000000D+02    0.15000000D-01    0.17072688D-12
  0.67000000D+02    0.15000000D-01    0.74498802D-13
  0.68000000D+02    0.15000000D-01    0.30910466D-13
  0.69000000D+02    0.15000000D-01    0.16419366D-13
  0.70000000D+02    0.15000000D-01    0.00000000D+00
  0.00000000D+00    0.20000000D-01    0.00000000D+00
  0.10000000D+01    0.20000000D-01   -0.12772804D+00
  0.20000000D+01    0.20000000D-01    0.90531841D-01
  0.30000000D+01    0.20000000D-01   -0.13350016D+00
  0.40000000D+01    0.20000000D-01    0.70352539D-01
  0.50000000D+01    0.20000000D-01    0.25805369D-01
  0.60000000D+01    0.20000000D-01   -0.14478145D+00
  0.70000000D+01    0.20000000D-01    0.14863387D-01
  0.80000000D+01    0.20000000D-01    0.49898259D+00
  0.90000000D+01    0.20000000D-01    0.16248691D+01
  0.10000000D+02    0.20000000D-01    0.27790293D+01
  0.11000000D+02    0.20000000D-01    0.46869317D+01
  0.12000000D+02    0.20000000D-01    0.60491810D+01
  0.13000000D+02    0.20000000D-01    0.83928167D+01
  0.14000000D+02    0.20000000D-01    0.99161446D+01
  0.15000000D+02    0.20000000D-01    0.11993136D+02
  0.16000000D+02    0.20000000D-01    0.14283035D+02
  0.17000000D+02    0.20000000D-01    0.16019265D+02
  0.18000000D+02    0.20000000D-01    0.16935196D+02
  0.19000000D+02    0.20000000D-01    0.16869722D+02
  0.20000000D+02    0.20000000D-01    0.16258632D+02
  0.21000000D+02    0.20000000D-01    0.14893727D+02
  0.22000000D+02    0.20000000D-01    0.13557236D+02
  0.23000000D+02    0.20000000D-01    0.11578711D+02
  0.24000000D+02    0.20000000D-01    0.99251535D+01
  0.25000000D+02    0.20000000D-01    0.79404785D+01
  0.26000000D+02    0.20000000D-01    0.58312995D+01
  0.27000000D+02    0.20000000D-01    0.39679795D+01
  0.28000000D+02    0.20000000D-01    0.25364871D+01
  0.29000000D+02    0.20000000D-01    0.15417285D+01
  0.30000000D+02    0.20000000D-01    0.89959019D+00
  0.31000000D+02    0.20000000D-01    0.50762098D+00
  0.32000000D+02    0.20000000D-01    0.27858422D+00
  0.33000000D+02    0.20000000D-01    0.14935287D+00
  0.34000000D+02    0.20000000D-01    0.78491555D-01
  0.35000000D+02    0.20000000D-01    0.40550173D-01
  0.36000000D+02    0.20000000D-01    0.20639570D-01
  0.37000000D+02    0.20000000D-01    0.10369254D-01
  0.38000000D+02    0.20000000D-01    0.51498737D-02
  0.39000000D+02    0.20000000D-01    0.25316440D-02
  0.40000000D+02    0.20000000D-01    0.12332020D-02
  0.41000000D+02    0.20000000D-01    0.59578602D-03
  0.42000000D+02    0.20000000D-01    0.28570197D-03
  0.43000000D+02    0.20000000D-01    0.13608143D-03
  0.44000000D+02    0.20000000D-01    0.64417610D-04
  0.45000000D+02    0.20000000D-01    0.30321846D-04
  0.46000000D+02    0.20000000D-01    0.14198750D-04
  0.47000000D+02    0.20000000D-01    0.66170327D-05
  0.48000000D+02    0.20000000D-01    0.30700880D-05
  0.49000000D+02    0.20000000D-01    0.14185730D-05
  0.50000000D+02    0.20000000D-01    0.65296571D-06
  0.51000000D+02    0.20000000D-01    0.29948761D-06
  0.52000000D+02    0.20000000D-01    0.13690466D-06
  0.53000000D+02    0.20000000D-01    0.62387854D-07
  0.54000000D+02    0.20000000D-01    0.28347022D-07
  0.55000000D+02    0.20000000D-01    0.12844470D-07
  0.56000000D+02    0.20000000D-01    0.58049108D-08
  0.57000000D+02    0.20000000D-01    0.26170313D-08
  0.58000000D+02    0.20000000D-01    0.11771032D-08
  0.59000000D+02    0.20000000D-01    0.52828227D-09
  0.60000000D+02    0.20000000D-01    0.23659893D-09
  0.61000000D+02    0.20000000D-01    0.10575497D-09
  0.62000000D+02    0.20000000D-01    0.47181408D-10
  0.63000000D+02    0.20000000D-01    0.21012131D-10
  0.64000000D+02    0.20000000D-01    0.93410421D-11
  0.65000000D+02    0.20000000D-01    0.41474792D-11
  0.66000000D+02    0.20000000D-01    0.18349314D-11
  0.67000000D+02    0.20000000D-01    0.81907016D-12
  0.68000000D+02    0.20000000D-01    0.34578869D-12
  0.69000000D+02    0.20000000D-01    0.18931371D-12
  0.70000000D+02    0.20000000D-01    0.00000000D+00
  0.00000000D+00    0.25000000D-01    0.00000000D+00
  0.10000000D+01    0.25000000D-01   -0.15797867D+00
  0.20000000D+01    0.25000000D-01    0.60501259D-01
  0.30000000D+01    0.25000000D-01   -0.97917510D-01
  0.40000000D+01    0.25000000D-01   -0.10664045D-01
  0.50000000D+01    0.25000000D-01    0.64115659D-01
  0.60000000D+01    0.25000000D-01   -0.87284624D-01
  0.70000000D+01    0.25000000D-01   -0.50878002D-01
  0.80000000D+01    0.25000000D-01    0.44198152D-01
  0.90000000D+01    0.25000000D-01    0.85869087D+00
  0.10000000D+02    0.25000000D-01    0.15765547D+01
  0.11000000D+02    0.25000000D-01    0.32636401D+01
  0.12000000D+02    0.25000000D-01    0.44231378D+01
  0.13000000D+02    0.25000000D-01    0.65157266D+01
  0.14000000D+02    0.25000000D-01    0.81773180D+01
  0.15000000D+02    0.25000000D-01    0.99933798D+01
  0.16000000D+02    0.25000000D-01    0.12176830D+02
  0.17000000D+02    0.25000000D-01    0.14205790D+02
  0.18000000D+02    0.25000000D-01    0.15803780D+02
  0.19000000D+02    0.25000000D-01    0.16468622D+02
  0.20000000D+02    0.25000000D-01    0.16605981D+02
  0.21000000D+02    0.25000000D-01    0.15773925D+02
  0.22000000D+02    0.25000000D-01    0.14845584D+02
  0.23000000D+02    0.25000000D-01    0.13197228D+02
  0.24000000D+02    0.25000000D-01    0.11608549D+02
  0.25000000D+02    0.25000000D-01    0.98304370D+01
  0.26000000D+02    0.25000000D-01    0.78286320D+01
  0.27000000D+02    0.25000000D-01    0.58357722D+01
  0.28000000D+02    0.25000000D-01    0.40930465D+01
  0.29000000D+02    0.25000000D-01    0.27226535D+01
  0.30000000D+02    0.25000000D-01    0.17311966D+01
  0.31000000D+02    0.25000000D-01    0.10594407D+01
  0.32000000D+02    0.25000000D-01    0.62755718D+00
  0.33000000D+02    0.25000000D-01    0.36149476D+00
  0.34000000D+02    0.25000000D-01    0.20327339D+00
  0.35000000D+02    0.25000000D-01    0.11193108D+00
  0.36000000D+02    0.25000000D-01    0.60511572D-01
  0.37000000D+02    0.25000000D-01    0.32187080D-01
  0.38000000D+02    0.25000000D-01    0.16875921D-01
  0.39000000D+02    0.25000000D-01    0.87349858D-02
  0.40000000D+02    0.25000000D-01    0.44692373D-02
  0.41000000D+02    0.25000000D-01    0.22629153D-02
  0.42000000D+02    0.25000000D-01    0.11349787D-02
  0.43000000D+02    0.25000000D-01    0.56436172D-03
  0.44000000D+02    0.25000000D-01    0.27841817D-03
  0.45000000D+02    0.25000000D-01    0.13636060D-03
  0.46000000D+02    0.25000000D-01    0.66340664D-04
  0.47000000D+02    0.25000000D-01    0.32076772D-04
  0.48000000D+02    0.25000000D-01    0.15421187D-04
  0.49000000D+02    0.25000000D-01    0.73745746D-05
  0.50000000D+02    0.25000000D-01    0.35091834D-05
