 title= "nonlinear solution"
 variables= "x", "t", "u" 
 zone F=point, I=          41 J=          13
  0.19000000D+02    0.12000000D+01    0.50000000D+01
  0.20000000D+02    0.12000000D+01    0.49999999D+01
  0.21000000D+02    0.12000000D+01    0.49962342D+01
  0.22000000D+02    0.12000000D+01    0.49200801D+01
  0.23000000D+02    0.12000000D+01    0.44544379D+01
  0.24000000D+02    0.12000000D+01    0.62922993D+00
  0.25000000D+02    0.12000000D+01    0.18290753D-04
  0.26000000D+02    0.12000000D+01    0.84865425D-22
  0.27000000D+02    0.12000000D+01    0.00000000D+00
  0.28000000D+02    0.12000000D+01    0.00000000D+00
  0.29000000D+02    0.12000000D+01    0.00000000D+00
  0.30000000D+02    0.12000000D+01    0.00000000D+00
  0.31000000D+02    0.12000000D+01    0.00000000D+00
  0.32000000D+02    0.12000000D+01    0.00000000D+00
  0.33000000D+02    0.12000000D+01    0.00000000D+00
  0.34000000D+02    0.12000000D+01    0.00000000D+00
  0.35000000D+02    0.12000000D+01    0.00000000D+00
  0.36000000D+02    0.12000000D+01    0.00000000D+00
  0.37000000D+02    0.12000000D+01    0.00000000D+00
  0.38000000D+02    0.12000000D+01    0.00000000D+00
  0.39000000D+02    0.12000000D+01    0.00000000D+00
  0.40000000D+02    0.12000000D+01    0.00000000D+00
  0.00000000D+00    0.14000000D+01    0.50000000D+01
  0.10000000D+01    0.14000000D+01    0.50000000D+01
  0.20000000D+01    0.14000000D+01    0.50000000D+01
  0.30000000D+01    0.14000000D+01    0.50000000D+01
  0.40000000D+01    0.14000000D+01    0.50000000D+01
  0.50000000D+01    0.14000000D+01    0.50000000D+01
  0.60000000D+01    0.14000000D+01    0.50000000D+01
  0.70000000D+01    0.14000000D+01    0.50000000D+01
  0.80000000D+01    0.14000000D+01    0.50000000D+01
  0.90000000D+01    0.14000000D+01    0.50000000D+01
  0.10000000D+02    0.14000000D+01    0.50000000D+01
  0.11000000D+02    0.14000000D+01    0.50000000D+01
  0.12000000D+02    0.14000000D+01    0.50000000D+01
  0.13000000D+02    0.14000000D+01    0.50000000D+01
  0.14000000D+02    0.14000000D+01    0.50000000D+01
  0.15000000D+02    0.14000000D+01    0.50000000D+01
  0.16000000D+02    0.14000000D+01    0.50000000D+01
  0.17000000D+02    0.14000000D+01    0.50000000D+01
  0.18000000D+02    0.14000000D+01    0.50000000D+01
  0.19000000D+02    0.14000000D+01    0.50000000D+01
  0.20000000D+02    0.14000000D+01    0.49999993D+01
  0.21000000D+02    0.14000000D+01    0.49997425D+01
  0.22000000D+02    0.14000000D+01    0.49898148D+01
  0.23000000D+02    0.14000000D+01    0.48140090D+01
  0.24000000D+02    0.14000000D+01    0.26740502D+01
  0.25000000D+02    0.14000000D+01    0.22384499D-01
  0.26000000D+02    0.14000000D+01    0.16727644D-10
