 title= "nonlinear solution"
 variables= "x", "t", "u" 
 zone F=point, I=          41 J=          13
  0.19000000D+02    0.12000000D+01    0.59093676D+01
  0.20000000D+02    0.12000000D+01    0.28192252D+01
  0.21000000D+02    0.12000000D+01    0.51924591D+01
  0.22000000D+02    0.12000000D+01    0.75123682D+01
  0.23000000D+02    0.12000000D+01    0.34983495D+01
  0.24000000D+02    0.12000000D+01    0.23872456D+00
  0.25000000D+02    0.12000000D+01    0.19387071D-03
  0.26000000D+02    0.12000000D+01    0.18834650D-11
  0.27000000D+02    0.12000000D+01    0.00000000D+00
  0.28000000D+02    0.12000000D+01    0.00000000D+00
  0.29000000D+02    0.12000000D+01    0.00000000D+00
  0.30000000D+02    0.12000000D+01    0.00000000D+00
  0.31000000D+02    0.12000000D+01    0.00000000D+00
  0.32000000D+02    0.12000000D+01    0.00000000D+00
  0.33000000D+02    0.12000000D+01    0.00000000D+00
  0.34000000D+02    0.12000000D+01    0.00000000D+00
  0.35000000D+02    0.12000000D+01    0.00000000D+00
  0.36000000D+02    0.12000000D+01    0.00000000D+00
  0.37000000D+02    0.12000000D+01    0.00000000D+00
  0.38000000D+02    0.12000000D+01    0.00000000D+00
  0.39000000D+02    0.12000000D+01    0.00000000D+00
  0.40000000D+02    0.12000000D+01    0.00000000D+00
  0.00000000D+00    0.14000000D+01    0.50000000D+01
  0.10000000D+01    0.14000000D+01    0.49999961D+01
  0.20000000D+01    0.14000000D+01    0.50000108D+01
  0.30000000D+01    0.14000000D+01    0.49999669D+01
  0.40000000D+01    0.14000000D+01    0.50000982D+01
  0.50000000D+01    0.14000000D+01    0.49997146D+01
  0.60000000D+01    0.14000000D+01    0.50008081D+01
  0.70000000D+01    0.14000000D+01    0.49977766D+01
  0.80000000D+01    0.14000000D+01    0.50059120D+01
  0.90000000D+01    0.14000000D+01    0.49848728D+01
  0.10000000D+02    0.14000000D+01    0.50368252D+01
  0.11000000D+02    0.14000000D+01    0.49147062D+01
  0.12000000D+02    0.14000000D+01    0.51810257D+01
  0.13000000D+02    0.14000000D+01    0.46354700D+01
  0.14000000D+02    0.14000000D+01    0.56063256D+01
  0.15000000D+02    0.14000000D+01    0.40295377D+01
  0.16000000D+02    0.14000000D+01    0.59980849D+01
  0.17000000D+02    0.14000000D+01    0.43703287D+01
  0.18000000D+02    0.14000000D+01    0.44102510D+01
  0.19000000D+02    0.14000000D+01    0.65669948D+01
  0.20000000D+02    0.14000000D+01    0.39701204D+01
  0.21000000D+02    0.14000000D+01    0.30407334D+01
  0.22000000D+02    0.14000000D+01    0.72183863D+01
  0.23000000D+02    0.14000000D+01    0.61939268D+01
  0.24000000D+02    0.14000000D+01    0.13221505D+01
  0.25000000D+02    0.14000000D+01    0.15975361D-01
  0.26000000D+02    0.14000000D+01    0.15485961D-06
  0.27000000D+02    0.14000000D+01    0.14583633D-19
  0.28000000D+02    0.14000000D+01    0.00000000D+00
  0.29000000D+02    0.14000000D+01    0.00000000D+00
  0.30000000D+02    0.14000000D+01    0.00000000D+00
  0.31000000D+02    0.14000000D+01    0.00000000D+00
  0.32000000D+02    0.14000000D+01    0.00000000D+00
  0.33000000D+02    0.14000000D+01    0.00000000D+00
  0.34000000D+02    0.14000000D+01    0.00000000D+00
  0.35000000D+02    0.14000000D+01    0.00000000D+00
  0.36000000D+02    0.14000000D+01    0.00000000D+00
  0.37000000D+02    0.14000000D+01    0.00000000D+00
  0.38000000D+02    0.14000000D+01    0.00000000D+00
  0.39000000D+02    0.14000000D+01    0.00000000D+00
