 title="time marching" 
 variable= "x", "t", "u" 
 zone f=point, I=          71 j=         120
  0.52000000D+02    0.37500000D-02    0.35397356D-22
  0.53000000D+02    0.37500000D-02    0.46556199D-23
  0.54000000D+02    0.37500000D-02    0.61103257D-24
  0.55000000D+02    0.37500000D-02    0.80036565D-25
  0.56000000D+02    0.37500000D-02    0.10464095D-25
  0.57000000D+02    0.37500000D-02    0.13656879D-26
  0.58000000D+02    0.37500000D-02    0.17794308D-27
  0.59000000D+02    0.37500000D-02    0.23148902D-28
  0.60000000D+02    0.37500000D-02    0.30070168D-29
  0.61000000D+02    0.37500000D-02    0.39005979D-30
  0.62000000D+02    0.37500000D-02    0.50529786D-31
  0.63000000D+02    0.37500000D-02    0.65375268D-32
  0.64000000D+02    0.37500000D-02    0.84480398D-33
  0.65000000D+02    0.37500000D-02    0.10904347D-33
  0.66000000D+02    0.37500000D-02    0.14059427D-34
  0.67000000D+02    0.37500000D-02    0.18108539D-35
  0.68000000D+02    0.37500000D-02    0.23293954D-36
  0.69000000D+02    0.37500000D-02    0.30445586D-37
  0.70000000D+02    0.37500000D-02    0.00000000D+00
  0.00000000D+00    0.50000000D-02    0.00000000D+00
  0.10000000D+01    0.50000000D-02   -0.19946754D-02
  0.20000000D+01    0.50000000D-02    0.95031112D-02
  0.30000000D+01    0.50000000D-02   -0.42232256D-01
  0.40000000D+01    0.50000000D-02    0.15877903D+00
  0.50000000D+01    0.50000000D-02   -0.43638725D+00
  0.60000000D+01    0.50000000D-02    0.43442103D+00
  0.70000000D+01    0.50000000D-02    0.21014106D+01
  0.80000000D+01    0.50000000D-02    0.40211244D+01
  0.90000000D+01    0.50000000D-02    0.60042049D+01
  0.10000000D+02    0.50000000D-02    0.80000132D+01
  0.11000000D+02    0.50000000D-02    0.10003988D+02
  0.12000000D+02    0.50000000D-02    0.11980993D+02
  0.13000000D+02    0.50000000D-02    0.14084464D+02
  0.14000000D+02    0.50000000D-02    0.15682442D+02
  0.15000000D+02    0.50000000D-02    0.18872775D+02
  0.16000000D+02    0.50000000D-02    0.19131157D+02
  0.17000000D+02    0.50000000D-02    0.17797184D+02
  0.18000000D+02    0.50000000D-02    0.15957718D+02
  0.19000000D+02    0.50000000D-02    0.13991785D+02
  0.20000000D+02    0.50000000D-02    0.11998882D+02
  0.21000000D+02    0.50000000D-02    0.99978128D+01
  0.22000000D+02    0.50000000D-02    0.80094711D+01
  0.23000000D+02    0.50000000D-02    0.59577625D+01
  0.24000000D+02    0.50000000D-02    0.41587782D+01
  0.25000000D+02    0.50000000D-02    0.15636125D+01
  0.26000000D+02    0.50000000D-02    0.43442161D+00
  0.27000000D+02    0.50000000D-02    0.10140694D+00
  0.28000000D+02    0.50000000D-02    0.21146663D-01
  0.29000000D+02    0.50000000D-02    0.40749827D-02
  0.30000000D+02    0.50000000D-02    0.74073799D-03
  0.31000000D+02    0.50000000D-02    0.12873785D-03
  0.32000000D+02    0.50000000D-02    0.21591506D-04
  0.33000000D+02    0.50000000D-02    0.35179740D-05
  0.34000000D+02    0.50000000D-02    0.55961322D-06
  0.35000000D+02    0.50000000D-02    0.87239237D-07
  0.36000000D+02    0.50000000D-02    0.13367390D-07
  0.37000000D+02    0.50000000D-02    0.20179595D-08
  0.38000000D+02    0.50000000D-02    0.30070051D-09
  0.39000000D+02    0.50000000D-02    0.44298428D-10
  0.40000000D+02    0.50000000D-02    0.64600603D-11
  0.41000000D+02    0.50000000D-02    0.93357763D-12
  0.42000000D+02    0.50000000D-02    0.13382262D-12
  0.43000000D+02    0.50000000D-02    0.19042129D-13
  0.44000000D+02    0.50000000D-02    0.26915518D-14
  0.45000000D+02    0.50000000D-02    0.37813487D-15
  0.46000000D+02    0.50000000D-02    0.52828776D-16
  0.47000000D+02    0.50000000D-02    0.73429438D-17
  0.48000000D+02    0.50000000D-02    0.10158248D-17
  0.49000000D+02    0.50000000D-02    0.13991685D-18
  0.50000000D+02    0.50000000D-02    0.19193793D-19
  0.51000000D+02    0.50000000D-02    0.26230941D-20
  0.52000000D+02    0.50000000D-02    0.35722308D-21
  0.53000000D+02    0.50000000D-02    0.48488329D-22
